2021.2.19 15:16,Start,,,,,,,
2021.2.19 15:16,End,,,,,,,
,,,,,,,,
,,,,,,,,
Time (s),X,Y,Z,|V|,MAx,MAy,MAz,MAv
2.238,7.965752,2.159636,8.545167,11.880114,8.198,2.504,7.95,11.705
2.249,7.850827,2.001614,8.638543,11.843411,8.053,2.282,8.29,11.788
2.258,7.690411,1.886689,8.61939,11.704524,7.903,2.103,8.504,11.802
2.269,7.388732,1.786129,8.573898,11.458418,7.724,1.959,8.594,11.722
2.278,6.945791,1.810072,8.643332,11.235104,7.469,1.871,8.619,11.56
2.29,6.387925,1.8819,8.751075,10.996747,7.103,1.841,8.647,11.349
2.298,5.751048,2.051893,8.775017,10.690451,6.618,1.882,8.686,11.095
2.309,5.073468,2.286532,8.573898,10.221548,6.04,2.008,8.686,10.786
2.318,4.338426,2.490046,8.109408,9.528104,5.388,2.178,8.552,10.359
2.33,3.529161,2.664828,7.661679,8.846333,4.673,2.373,8.28,9.822
2.338,2.75581,2.729473,7.422252,8.374625,3.924,2.543,7.942,9.243
2.348,2.042316,2.78933,7.613794,8.361895,3.166,2.668,7.702,8.778
2.359,1.376708,2.959324,8.011244,8.650604,2.426,2.786,7.677,8.558
2.369,0.699128,3.272974,8.499676,9.134858,1.718,2.938,7.887,8.63
2.378,-0.059857,3.703943,9.081485,9.807963,1.015,3.181,8.302,8.989
2.389,-1.04151,4.319272,9.63935,10.614043,0.244,3.564,8.808,9.552
2.398,-2.236253,5.126143,10.067925,11.517,-0.66,4.106,9.322,10.268
2.41,-3.675212,6.146103,10.23313,12.489945,-1.753,4.824,9.755,11.107
2.418,-5.16924,7.233104,10.36721,13.657155,-3.031,5.706,10.077,12.07
2.429,-6.737489,8.28898,10.61382,15.058357,-4.455,6.699,10.321,13.181
2.438,-8.107015,9.29218,11.028029,16.54345,-5.922,7.74,10.561,14.437
2.45,-9.117398,10.343267,11.758284,18.12091,-7.283,8.789,10.942,15.845
2.458,-9.816526,11.348863,12.632194,19.614616,-8.445,9.818,11.508,17.334
2.468,-10.41749,12.318543,13.522864,21.050854,-9.365,10.826,12.235,18.832
2.48,-11.004087,13.247522,14.121433,22.271094,-10.089,11.815,13.009,20.264
2.489,-11.645753,14.095096,14.324946,23.227126,-10.721,12.753,13.65,21.541
2.498,-12.380795,14.748733,14.257907,23.960324,-11.362,13.602,14.057,22.627
2.509,-13.137386,15.045623,13.922708,24.347556,-12.042,14.284,14.157,23.452
2.518,-13.678492,14.997737,13.446247,24.3482,-12.711,14.722,13.988,23.971
2.529,-13.807783,14.504517,12.931479,23.838184,-13.251,14.824,13.64,24.124
2.538,-13.448642,13.702435,12.474172,22.896018,-13.518,14.563,13.194,23.857
2.549,-12.531634,12.555577,12.103059,21.474832,-13.367,13.94,12.739,23.139
2.558,-11.114223,11.12859,11.911517,19.729564,-12.726,12.973,12.355,21.985
2.569,-9.313729,9.478934,11.959403,17.878005,-11.602,11.716,12.112,20.495
2.579,-7.271412,7.819702,12.21559,16.224729,-10.058,10.246,12.047,18.827
2.589,-5.039948,6.246663,12.622617,14.958354,-8.185,8.668,12.177,17.198
2.598,-2.973689,4.814887,12.732754,13.933735,-6.15,7.09,12.383,15.749
2.61,-1.37192,3.584229,12.024048,12.621672,-4.164,5.616,12.399,14.435
2.618,-0.055068,2.624125,10.738322,11.054439,-2.36,4.317,12.029,13.142
2.629,1.197137,1.893871,9.093455,9.365406,-0.801,3.229,11.147,11.744
2.638,2.188367,1.223474,7.676045,8.075116,0.49,2.331,9.883,10.279
2.65,3.043123,0.675186,7.027196,7.68752,1.593,1.604,8.634,9.046
2.659,3.687183,0.136474,7.055928,7.962416,2.529,0.982,7.713,8.273
2.669,4.096604,-0.519558,7.616188,8.663627,3.254,0.379,7.344,8.097
2.679,4.553911,-1.173195,8.502069,9.715949,3.845,-0.22,7.55,8.507
2.689,5.274588,-1.738243,9.217958,10.761669,4.403,-0.824,8.098,9.276
2.698,6.000052,-2.214704,9.378374,11.351628,4.981,-1.411,8.679,10.123
2.708,6.533976,-2.552297,8.976136,11.392018,5.591,-1.92,9.019,10.805
2.718,6.720729,-2.703136,8.277008,10.999273,6.132,-2.302,8.962,11.126
2.729,6.601016,-2.700742,7.307327,10.210996,6.464,-2.543,8.485,10.988
2.738,6.275394,-2.679193,6.22272,9.234766,6.533,-2.659,7.696,10.459
2.749,5.947379,-2.547508,5.305713,8.3673,6.386,-2.658,6.778,9.703
2.758,5.684009,-2.387092,4.683201,7.741998,6.127,-2.579,5.88,8.889
2.77,5.394301,-2.219493,4.419831,7.318438,5.825,-2.458,5.158,8.166
2.781,4.96812,-2.071048,4.314483,6.898277,5.498,-2.306,4.681,7.582
2.788,4.494054,-1.905843,4.302512,6.506947,5.135,-2.146,4.43,7.116
2.798,4.072661,-1.711906,4.34082,6.193538,4.732,-1.977,4.344,6.729
2.81,3.818868,-1.369525,4.450957,6.022489,4.338,-1.765,4.352,6.405
2.818,3.732674,-0.888276,4.541939,5.94568,4.03,-1.469,4.409,6.167
2.829,3.553104,-0.268159,4.49166,5.733364,3.794,-1.059,4.456,5.974
